1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.553467	627.201626	0.006536	1805.6
1	-0.000000	623.504937	0.000000	4.2
2	-0.000000	619.865785	0.000000	4.2
3	-0.000000	616.282728	0.000000	4.2
4	-0.000000	612.754375	0.000000	4.4
5	-0.000000	609.279381	0.000000	4.3
6	-0.785096	605.856447	0.008124	4.7
7	-0.538950	602.484317	0.007179	5.2
8	-0.560843	599.161779	0.010948	5.7
9	-0.618998	595.887656	0.006779	4.6
10	-0.390326	592.660813	0.003959	4.9
11	-0.165721	589.480151	0.004378	4.4
12	-0.509211	586.344606	0.006508	4.5
13	-0.000000	583.253145	0.000000	4.3
14	-0.860691	580.204771	0.008313	4.1
15	-0.732068	577.198517	0.005694	5.2
16	-0.620241	574.233444	0.004990	5.1
17	-0.457644	571.308645	0.003975	5.1
18	-0.000186	568.423237	0.000004	4.1
19	-0.419825	565.576365	0.009747	4.0
20	-0.594605	562.767201	0.009142	4.1
21	-0.213436	559.994938	0.007542	4.1
22	-0.677780	557.258797	0.004413	4.0
23	-0.000000	554.558018	0.000000	4.0
24	-0.216244	551.891865	0.001298	4.0
25	-0.000000	549.259621	0.000000	3.9
26	-0.381472	546.660592	0.006288	4.0
27	-0.000000	544.094102	0.000000	4.0
28	-0.576306	541.559494	0.005957	3.9
29	-0.457256	539.056129	0.008267	4.1
30	-0.000000	536.583387	0.000000	4.1
31	-0.000000	534.140663	0.000000	4.0
32	-0.000000	531.727370	0.000000	4.0
33	-0.000000	529.342935	0.000000	4.0
34	-0.528724	526.986802	0.006066	4.2
35	-0.012307	524.658430	0.000295	4.2
36	-0.035556	522.357290	0.002675	4.3
37	-0.000000	520.082868	0.000000	3.9
38	-0.750542	517.834665	0.008703	4.0
39	-0.000000	515.612193	0.000000	3.9
40	-0.375792	513.414976	0.004890	3.9
41	-0.000000	511.242551	0.000000	4.0
42	-0.000000	509.094468	0.000000	4.0
43	-0.631743	506.970285	0.008007	4.0
44	-0.000000	504.869574	0.000000	4.1
45	-0.000000	502.791916	0.000000	4.4
46	-0.506786	500.736903	0.005897	4.3
47	-0.878108	498.704137	0.007303	4.1
48	-0.128214	496.693228	0.002308	4.3
49	-0.753888	494.703798	0.006205	5.0
50	-0.347744	492.735476	0.004402	5.1
51	-0.000000	490.787900	0.000000	5.8
52	-0.702504	488.860718	0.009945	6.2
53	-0.222352	486.953585	0.003141	4.9
54	-0.148167	485.066164	0.001198	5.6
55	-0.644414	483.198126	0.012713	5.8
56	-0.710935	481.349149	0.011375	6.6
57	-0.000000	479.518920	0.000000	4.7
58	-0.261809	477.707132	0.003282	5.6
59	-0.861412	475.913485	0.006894	5.0
60	-0.000000	474.137684	0.000000	5.5
61	-0.000000	472.379445	0.000000	5.5
62	-0.000000	470.638485	0.000000	5.5
63	-0.175952	468.914531	0.003783	4.5
64	-0.002553	467.207315	0.000058	4.8
65	-0.782276	465.516573	0.004847	5.2
