1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.484511	0.000000	18.226121	0.004991	3267.3
1	-0.493697	0.000000	18.226121	0.005461	4.7
2	-0.485895	0.000000	18.226121	0.004992	4.4
3	-0.484907	0.999999	17.397661	0.007321	4.1
4	-0.489128	1.510872	17.002830	0.004793	4.1
5	-0.481491	0.584251	17.732769	0.002888	4.2
6	-0.489827	1.584160	16.947654	0.004129	4.1
7	-0.493041	0.660164	17.670620	0.004407	4.0
8	-0.487023	1.660127	16.890838	0.003838	4.2
9	-0.483536	0.793741	17.562314	0.005424	4.1
10	-0.505022	1.791537	16.793450	0.004666	4.1
11	-0.501156	2.791383	16.087696	0.008040	4.3
12	-0.485410	3.791383	15.438773	0.007742	4.2
13	-0.483976	4.791383	14.840171	0.007997	4.1
14	-0.497588	5.791240	14.286331	0.007407	4.4
15	-0.478407	6.791239	13.772273	0.005469	4.2
16	-0.490388	7.791239	13.293923	0.007911	4.1
17	-0.483316	8.791239	12.847687	0.005729	4.2
18	-0.479263	7.864617	13.260128	0.008434	4.0
19	-0.491819	8.864544	12.816152	0.005608	4.2
20	-0.488212	9.768660	12.439558	0.005662	4.2
21	-0.480396	10.025214	12.336693	0.005198	4.1
22	-0.478585	9.098592	12.716493	0.004841	4.1
23	-0.481384	8.171971	13.120421	0.005969	4.2
24	-0.490703	9.085508	12.722023	0.004914	4.1
25	-0.491655	8.221318	13.098264	0.003258	4.1
26	-0.491656	9.216746	12.666769	0.004013	4.2
27	-0.484578	9.163029	12.689327	0.009428	4.0
28	-0.489908	10.163004	12.282145	0.006304	4.2
29	-0.470276	9.947737	12.367577	0.003133	4.1
30	-0.476423	10.943579	11.982018	0.005172	4.1
31	-0.476703	11.943088	11.618478	0.005472	4.1
32	-0.486326	12.368719	11.470279	0.004406	4.2
33	-0.483507	11.707794	11.702059	0.006667	4.2
34	-0.492493	11.697523	11.705735	0.004720	4.2
35	-0.482485	12.697523	11.358358	0.007533	4.2
36	-0.485076	11.771763	11.679217	0.005400	4.1
37	-0.497105	12.771763	11.333389	0.007183	4.2
38	-0.503970	13.771763	11.007453	0.003588	4.2
39	-0.500489	13.942521	10.953661	0.004331	4.2
40	-0.485116	14.616029	10.746525	0.005170	4.2
41	-0.493940	15.615960	10.453052	0.004262	4.2
42	-0.474310	14.719196	10.715486	0.006762	4.2
43	-0.482324	15.704779	10.427757	0.008041	4.3
44	-0.486144	16.704703	10.151215	0.006976	4.1
45	-0.488573	17.504800	9.940281	0.003339	4.2
46	-0.484343	17.652433	9.902314	0.004216	4.3
47	-0.486904	18.652389	9.652597	0.004489	4.1
48	-0.489947	17.725781	9.883559	0.004753	4.1
49	-0.486568	18.725779	9.634765	0.006068	4.3
50	-0.504423	17.799158	9.864867	0.005611	4.1
51	-0.495615	18.799158	9.617001	0.004217	4.1
52	-0.488859	19.729908	9.397235	0.004729	4.3
53	-0.482317	19.440752	9.464427	0.005145	4.1
54	-0.498452	18.514130	9.686371	0.004427	4.2
55	-0.485008	17.587648	9.918939	0.005252	4.6
56	-0.483089	18.587273	9.668474	0.004778	4.7
57	-0.482634	18.566759	9.673487	0.005224	4.3
58	-0.488640	17.640137	9.905465	0.007640	4.8
59	-0.493510	16.865728	10.108046	0.006567	4.3
60	-0.479889	15.939106	10.361608	0.003731	4.6
61	-0.495547	15.015352	10.627372	0.006989	4.3
62	-0.469458	16.014805	10.340417	0.007108	4.8
63	-0.493492	16.968460	10.080697	0.004174	4.2
64	-0.488861	17.968460	9.822008	0.005497	4.8
65	-0.483077	17.189493	10.022352	0.003894	4.3
66	-0.498981	16.558331	10.190776	0.011350	4.5
67	-0.492812	15.631712	10.448557	0.003929	4.5
68	-0.491853	14.705778	10.719512	0.004901	4.8
69	-0.479200	15.703510	10.428118	0.005405	4.3
70	-0.471842	14.776888	10.698206	0.005050	4.4
71	-0.487741	14.073810	10.912659	0.007074	4.2
72	-0.500289	15.073810	10.610150	0.003745	4.3
73	-0.487141	16.073152	10.324143	0.005571	4.2
74	-0.476305	17.072824	10.053064	0.007088	4.6
75	-0.489170	16.147317	10.303531	0.009070	4.5
76	-0.501924	17.147317	10.033432	0.005819	4.2
77	-0.489779	18.147317	9.777133	0.003880	4.3
78	-0.506850	17.220696	10.014170	0.003357	4.3
79	-0.488681	16.294911	10.262755	0.003279	4.5
80	-0.487691	15.369042	10.524020	0.004413	4.1
81	-0.481726	16.365009	10.243502	0.004020	4.1
82	-0.481086	15.465542	10.496170	0.003813	4.1
83	-0.476928	15.987799	10.347967	0.005508	4.1
84	-0.486990	16.987289	10.075700	0.003963	4.1
85	-0.490444	16.383309	10.238487	0.006805	4.1
86	-0.484682	15.463959	10.496626	0.005597	4.0
87	-0.487271	14.537337	10.770321	0.002838	4.1
88	-0.486039	15.537053	10.475627	0.003132	4.1
89	-0.484969	16.341512	10.249947	0.004474	4.1
90	-0.498379	15.426201	10.507506	0.004586	4.0
91	-0.475058	15.920131	10.366933	0.004788	4.0
92	-0.491999	16.910260	10.096173	0.005926	4.0
93	-0.492544	17.910189	9.836717	0.005473	4.0
94	-0.491409	16.983798	10.076626	0.004299	4.0
95	-0.475634	16.057183	10.328592	0.005152	4.1
96	-0.486998	16.978895	10.077927	0.004222	4.1
97	-0.477995	17.977624	9.819699	0.002894	4.1
98	-0.491560	18.168270	9.771903	0.007532	4.0
99	-0.491002	19.167616	9.528784	0.003327	4.1
100	-0.475943	18.241046	9.753780	0.007603	4.2
101	-0.477845	17.314509	9.989650	0.005695	4.3
102	-0.483394	16.387887	10.237234	0.006907	4.4
103	-0.482144	17.387478	9.970661	0.005418	4.1
104	-0.481164	18.334707	9.730555	0.005414	4.2
105	-0.475385	17.411942	9.964311	0.005212	4.3
106	-0.494651	16.485320	10.210625	0.004957	4.6
107	-0.479618	16.106017	10.314999	0.007268	4.3
108	-0.497087	15.203373	10.572179	0.003881	4.1
109	-0.487389	14.276885	10.849839	0.010030	4.2
110	-0.498007	15.193858	10.574958	0.005984	4.2
