1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.635214	0.000000	17.905088	0.016594	3577.0
1	-0.632865	0.000000	17.905088	0.009392	9.1
2	-0.631892	0.999997	17.091223	0.012114	8.1
3	-0.628193	1.975120	16.365828	0.011637	8.0
4	-0.618068	1.096551	17.016541	0.010248	8.0
5	-0.619405	0.217982	17.721142	0.008907	8.1
6	-0.636692	1.217982	16.923538	0.006617	8.0
7	-0.607340	0.462730	17.519061	0.010258	8.5
8	-0.634826	0.000000	17.905088	0.010021	8.6
9	-0.617133	0.000000	17.905088	0.010452	8.5
10	-0.629079	0.000000	17.905088	0.007677	7.9
11	-0.633327	0.999462	17.091639	0.005982	7.9
12	-0.629339	1.992465	16.353481	0.011312	7.8
13	-0.627133	1.113902	17.003189	0.008594	9.1
14	-0.616079	2.111172	16.269484	0.011325	8.6
15	-0.608747	1.232608	16.912405	0.009434	8.8
16	-0.612140	2.232608	16.184445	0.009914	8.7
17	-0.645552	3.232608	15.516566	0.007695	8.5
18	-0.634697	4.232608	14.901625	0.010982	8.0
19	-0.619168	5.232607	14.333568	0.008203	7.8
20	-0.627392	4.471938	14.761612	0.006907	8.6
21	-0.629045	3.593370	15.288952	0.008513	8.2
22	-0.632106	4.593370	14.691573	0.009978	7.9
23	-0.621711	3.714800	15.213833	0.007316	7.9
24	-0.638893	2.836253	15.774579	0.009631	7.8
25	-0.622763	3.776084	15.176202	0.005680	8.3
26	-0.634809	2.905640	15.728793	0.010298	8.3
27	-0.633533	3.905640	15.097257	0.009014	8.0
28	-0.619995	3.027071	15.649301	0.020210	8.2
29	-0.616792	4.027071	15.024006	0.014979	8.8
30	-0.631737	5.027071	14.446760	0.006447	8.2
31	-0.613303	6.027069	13.912232	0.011688	8.0
32	-0.635401	5.148500	14.379672	0.016183	9.3
33	-0.629728	4.272245	14.878253	0.010595	9.1
34	-0.628155	3.393675	15.414113	0.014474	8.4
35	-0.628129	2.515249	15.989916	0.008633	8.7
36	-0.620891	3.515248	15.337673	0.015342	8.3
37	-0.628297	2.636679	15.907770	0.007659	8.0
38	-0.617378	3.636679	15.262075	0.011160	8.0
39	-0.609128	2.758533	15.826182	0.008878	7.9
40	-0.628441	1.879964	16.433892	0.011503	9.0
41	-0.620982	2.871975	15.750974	0.009114	8.2
42	-0.619818	1.993406	16.352812	0.013011	8.1
43	-0.618343	1.126415	16.993573	0.004853	8.5
44	-0.644387	0.247852	17.696229	0.009449	9.0
45	-0.625410	0.817769	17.233974	0.010762	8.4
46	-0.622252	0.000000	17.905088	0.009973	8.1
47	-0.615255	0.000000	17.905088	0.015404	8.0
48	-0.628640	0.000000	17.905088	0.009861	9.1
49	-0.621673	1.000000	17.091221	0.010620	8.6
50	-0.634318	0.619128	17.392323	0.008879	8.2
51	-0.624402	1.619128	16.623402	0.008624	8.9
52	-0.635717	2.619128	15.919591	0.007620	9.3
53	-0.613125	2.001619	16.346973	0.009492	10.6
54	-0.643036	1.794436	16.495555	0.016594	8.8
55	-0.638526	2.530682	15.979429	0.008539	9.0
56	-0.616271	3.530682	15.328023	0.009274	8.0
57	-0.618697	3.202816	15.535665	0.012648	8.0
58	-0.637490	4.202816	14.919240	0.010027	8.1
59	-0.641060	5.202816	14.349864	0.011618	9.6
60	-0.631772	6.202816	13.822351	0.006713	10.7
61	-0.628314	7.180936	13.342597	0.008233	7.9
62	-0.612766	6.302367	13.771951	0.007009	8.1
63	-0.624054	7.302353	13.285357	0.009794	8.2
64	-0.639211	8.302198	12.832036	0.008528	8.1
65	-0.619158	7.423972	13.228512	0.008334	8.0
66	-0.639218	8.413550	12.783457	0.011790	7.9
67	-0.633892	7.535035	13.177025	0.010071	7.9
68	-0.605619	8.535035	12.730876	0.010145	8.0
69	-0.635929	9.535035	12.313949	0.007289	7.8
70	-0.620238	10.535035	11.923464	0.011870	8.6
71	-0.620307	11.535035	11.556983	0.005864	8.1
72	-0.621148	10.656465	11.877727	0.012238	8.3
73	-0.623304	11.656465	11.514010	0.010899	8.4
74	-0.625869	10.777896	11.832340	0.009374	8.0
75	-0.618822	11.777865	11.471365	0.008277	8.0
76	-0.622959	10.899296	11.787309	0.010032	9.2
77	-0.614394	11.899296	11.429024	0.008945	10.5
78	-0.627077	12.899296	11.091878	0.007283	9.2
79	-0.626844	13.785910	10.809171	0.009879	9.5
80	-0.599445	12.907390	11.089230	0.007818	8.5
81	-0.627525	13.907340	10.771570	0.018307	8.5
82	-0.630622	13.028771	11.049675	0.011600	8.4
83	-0.630203	12.150201	11.342521	0.013131	8.5
84	-0.634629	11.271632	11.651312	0.008325	8.1
85	-0.624814	10.393140	11.977357	0.008241	8.1
86	-0.630863	9.518144	12.320764	0.009044	8.0
87	-0.612656	8.639575	12.685974	0.011934	8.0
88	-0.632613	9.639575	12.271935	0.006782	8.1
89	-0.605822	8.761190	12.634134	0.009905	8.7
90	-0.622521	9.760734	12.223598	0.011180	8.6
91	-0.619880	10.716114	11.855389	0.012807	9.7
92	-0.611135	9.837545	12.193151	0.007126	8.1
93	-0.635117	8.958976	12.550725	0.007743	8.4
94	-0.607869	8.083980	12.928315	0.011245	8.8
95	-0.627991	7.205410	13.331019	0.018969	9.0
96	-0.626071	8.205410	12.874562	0.012816	9.0
97	-0.618942	7.331943	13.271481	0.007695	8.5
98	-0.620719	8.327584	12.820929	0.012002	8.8
99	-0.640089	9.327487	12.398220	0.006163	9.1
100	-0.617692	8.636759	12.687179	0.016409	8.2
101	-0.631170	7.758191	13.074774	0.010839	9.3
102	-0.624934	6.879622	13.486799	0.010554	8.7
103	-0.626577	6.001053	13.925637	0.008100	8.1
104	-0.630283	7.001038	13.428318	0.014787	7.9
105	-0.620004	6.122598	13.863232	0.011941	7.9
106	-0.634618	5.244028	14.327330	0.008443	8.0
107	-0.623207	6.215665	13.815825	0.007194	8.8
108	-0.635631	7.166501	13.349434	0.008909	8.5
109	-0.623935	6.296108	13.775109	0.008362	8.0
110	-0.634992	5.434281	14.224214	0.011694	8.5
111	-0.610142	4.555711	14.713222	0.010047	9.7
112	-0.639113	3.677171	15.237033	0.013262	7.9
113	-0.609913	2.798602	15.799536	0.010244	8.0
114	-0.615432	1.920033	16.405162	0.013276	8.5
115	-0.625815	2.920022	15.719336	0.013914	9.0
116	-0.630128	2.041452	16.318713	0.009680	8.3
117	-0.623396	3.041452	15.639939	0.011801	9.3
118	-0.632179	4.041452	15.015377	0.011580	8.9
119	-0.614751	5.041452	14.438782	0.013387	8.5
120	-0.613784	4.162893	14.942910	0.005198	8.8
121	-0.626950	5.162825	14.371799	0.012880	8.6
122	-0.623362	6.162525	13.842854	0.010335	8.3
123	-0.629589	7.162524	13.351320	0.016159	8.0
124	-0.619397	7.966915	12.980563	0.010577	8.1
125	-0.623658	7.088349	13.386577	0.009850	7.9
126	-0.627451	7.896123	13.012363	0.008911	8.8
127	-0.627997	7.017556	13.420402	0.013120	8.4
128	-0.621983	8.017556	12.957909	0.007314	8.2
129	-0.628274	7.250605	13.309692	0.007424	8.3
130	-0.622842	6.372036	13.736898	0.005608	8.5
131	-0.614266	7.372035	13.252728	0.010912	8.7
132	-0.615196	6.493466	13.676226	0.009354	8.1
133	-0.626425	7.493464	13.196249	0.005994	7.9
134	-0.623187	8.493378	12.748857	0.013700	8.7
135	-0.629286	7.614896	13.140249	0.007546	8.0
136	-0.627146	6.736336	13.556472	0.007787	8.1
137	-0.618199	7.736296	13.084736	0.010105	8.3
138	-0.613037	6.857728	13.497399	0.016700	8.4
139	-0.632017	7.857728	13.029676	0.007182	8.1
140	-0.640117	6.979159	13.438819	0.009585	7.9
141	-0.618233	6.102394	13.873566	0.016124	7.9
142	-0.628800	7.102393	13.379887	0.008052	7.9
143	-0.621291	6.223824	13.811684	0.015924	8.0
144	-0.622997	5.345376	14.272215	0.012118	7.8
145	-0.630527	4.466806	14.764586	0.008268	8.2
146	-0.630383	3.588503	15.291979	0.007121	8.5
147	-0.634738	2.714132	15.855814	0.005249	8.4
148	-0.616857	1.835563	16.465846	0.011937	8.1
149	-0.618893	2.835563	15.775036	0.010652	8.0
150	-0.627541	3.835563	15.139856	0.011672	8.6
151	-0.615206	4.835563	14.553848	0.009081	8.9
152	-0.622318	5.835563	14.011514	0.014606	8.7
153	-0.628468	4.956994	14.485763	0.021787	8.0
154	-0.619427	4.078425	14.993241	0.011510	7.8
155	-0.623564	5.077459	14.418845	0.010000	7.8
156	-0.633741	6.077459	13.886342	0.005370	7.9
157	-0.635331	5.198890	14.352015	0.012416	8.1
158	-0.622866	4.320344	14.849990	0.008841	8.8
159	-0.613592	3.441775	15.383779	0.007233	8.1
160	-0.619907	4.441775	14.779113	0.011364	7.9
161	-0.624392	3.721912	15.209457	0.012531	7.9
162	-0.643099	2.960434	15.692823	0.007314	8.2
163	-0.635965	3.156218	15.565635	0.010747	8.6
164	-0.623587	4.156198	14.946887	0.008793	7.9
165	-0.622710	3.277629	15.487791	0.006014	8.5
166	-0.617052	2.399089	16.069295	0.012265	8.1
167	-0.618497	1.520520	16.696189	0.011597	7.8
168	-0.611010	0.641951	17.373982	0.006151	8.9
169	-0.624522	1.641950	16.606646	0.008665	9.1
170	-0.621624	0.763382	17.277042	0.011230	9.2
171	-0.615842	0.000000	17.905088	0.008255	8.4
172	-0.614892	0.000000	17.905088	0.010124	11.5
173	-0.620623	0.000000	17.905088	0.005847	10.3
174	-0.629867	1.000000	17.091221	0.004044	9.2
175	-0.628490	1.999720	16.348324	0.010170	8.1
176	-0.634475	2.920305	15.719150	0.012121	8.1
177	-0.622566	3.918352	15.089555	0.007446	8.0
178	-0.631369	4.918352	14.507360	0.004661	8.5
179	-0.624176	5.914754	13.970288	0.008479	8.9
180	-0.616971	6.803495	13.523726	0.011768	8.9
181	-0.637241	7.803495	13.054210	0.006777	9.5
182	-0.599297	8.703968	12.658472	0.011346	10.0
183	-0.623262	9.605888	12.285442	0.010216	8.2
184	-0.618018	10.605883	11.896736	0.011421	8.0
185	-0.635934	9.727314	12.236893	0.014586	8.0
186	-0.608882	10.727314	11.851204	0.012223	8.7
187	-0.631220	9.848745	12.188725	0.012873	8.6
188	-0.630380	10.848745	11.806018	0.011023	8.5
189	-0.626092	11.847448	11.447064	0.013221	8.7
190	-0.617061	12.847448	11.108869	0.009634	9.2
191	-0.628224	11.970269	11.404422	0.007944	9.6
192	-0.616548	11.129574	11.702827	0.012633	11.2
193	-0.640685	10.251103	12.031795	0.011510	10.3
194	-0.624973	11.251103	11.658729	0.007308	9.5
195	-0.617309	12.251103	11.308102	0.009563	8.9
196	-0.609241	12.849477	11.108203	0.009007	10.2
197	-0.606705	13.848976	10.789610	0.011469	9.4
198	-0.618306	12.971556	11.068285	0.007517	9.7
199	-0.643572	12.092987	11.362131	0.006350	9.2
200	-0.628045	11.214419	11.672005	0.010349	9.4
201	-0.631063	10.335853	11.999254	0.007781	8.4
202	-0.629533	11.335853	11.628172	0.009052	8.8
203	-0.640105	10.537716	11.922450	0.007423	8.9
204	-0.616355	11.537716	11.556031	0.012998	8.2
205	-0.621192	12.518866	11.217768	0.009345	8.5
206	-0.639740	11.640297	11.519713	0.009928	8.6
207	-0.632204	12.638407	11.177903	0.011608	8.3
208	-0.616931	13.638407	10.855201	0.008875	9.0
209	-0.619120	12.784364	11.129612	0.007066	8.9
210	-0.626029	13.386673	10.934668	0.013042	8.8
211	-0.635475	12.508104	11.221371	0.011950	8.3
212	-0.634611	13.508104	10.896190	0.013436	8.0
213	-0.622109	14.433207	10.611708	0.008455	7.9
214	-0.640441	15.433207	10.320444	0.009248	7.9
215	-0.629769	14.554639	10.575465	0.009153	9.2
216	-0.617375	15.554626	10.286163	0.013380	11.8
217	-0.624964	16.554626	10.012265	0.016629	9.1
218	-0.625594	15.676057	10.252107	0.011200	8.5
219	-0.649301	16.676057	9.979995	0.011857	8.2
220	-0.626404	15.797488	10.218275	0.007804	9.3
221	-0.614407	16.794802	9.948639	0.009786	9.1
222	-0.624204	17.794802	9.692197	0.009990	8.3
223	-0.629602	17.089851	9.871576	0.010324	8.5
224	-0.617953	16.225657	10.100745	0.008882	9.8
225	-0.620358	15.347087	10.344897	0.009359	8.4
226	-0.629572	14.468523	10.601142	0.010221	8.4
227	-0.638963	13.716600	10.830751	0.009996	8.6
228	-0.619111	14.469769	10.600770	0.012150	8.3
229	-0.627502	13.591200	10.870015	0.008757	7.9
230	-0.630126	14.591200	10.564602	0.010366	9.8
231	-0.600322	13.713376	10.831757	0.005685	8.4
232	-0.618952	14.695464	10.533743	0.010388	8.2
233	-0.614216	15.334054	10.348607	0.008849	8.4
234	-0.627056	16.334038	10.071422	0.006767	8.8
235	-0.610516	17.191675	9.845257	0.009956	9.1
236	-0.618072	18.191336	9.594132	0.013607	8.6
237	-0.619575	18.026799	9.634581	0.008164	8.6
238	-0.629158	17.148230	9.856469	0.008148	8.5
239	-0.626360	18.132325	9.608600	0.010184	9.3
240	-0.626151	19.089064	9.379287	0.011648	8.0
241	-0.627574	20.089064	9.151020	0.009216	8.2
242	-0.618932	21.089064	8.933600	0.006906	8.7
243	-0.630066	22.089056	8.726273	0.009530	8.1
244	-0.632062	21.210491	8.907901	0.008258	7.9
245	-0.623754	22.202752	8.703308	0.006527	8.0
246	-0.626781	21.324183	8.883972	0.007563	8.8
247	-0.627308	22.324183	8.678914	0.007685	8.6
248	-0.632118	21.445615	8.858556	0.007956	8.0
249	-0.624883	22.438926	8.655989	0.010365	9.4
250	-0.617102	21.560359	8.834673	0.008265	10.1
251	-0.622063	22.560359	8.631859	0.013331	8.3
252	-0.633936	23.560359	8.438147	0.010397	8.2
253	-0.634140	22.681790	8.607863	0.011654	9.1
254	-0.623168	23.681790	8.415215	0.013428	9.0
255	-0.615836	22.803220	8.584000	0.008929	8.1
256	-0.627497	21.924651	8.759695	0.012258	8.9
257	-0.631480	22.502892	8.643261	0.010710	9.2
258	-0.622069	23.502892	8.449043	0.009671	10.8
259	-0.625277	24.488438	8.265988	0.011168	9.6
260	-0.642676	23.609868	8.428782	0.009091	9.5
261	-0.630300	22.760143	8.592450	0.007338	9.2
262	-0.619662	23.758469	8.400798	0.013437	9.5
263	-0.628384	24.758469	8.217208	0.011978	10.4
264	-0.626407	25.758469	8.041471	0.006837	8.7
265	-0.630774	24.879902	8.195459	0.010372	9.0
266	-0.618118	24.001333	8.355460	0.006464	8.4
267	-0.630668	25.001333	8.173825	0.011254	8.2
268	-0.619981	24.577378	8.249857	0.009268	9.5
269	-0.624420	25.577378	8.072736	0.010207	8.4
270	-0.615333	24.705075	8.226807	0.010952	8.0
271	-0.633602	23.826522	8.388045	0.009586	9.2
272	-0.610464	24.826522	8.205005	0.008890	8.7
273	-0.625778	25.826522	8.029784	0.006752	8.1
274	-0.621381	26.823043	7.862462	0.012342	8.5
275	-0.632856	27.823043	7.701422	0.009956	8.6
276	-0.624078	26.944473	7.842548	0.004409	8.3
277	-0.620754	26.119633	7.979834	0.007492	8.8
278	-0.635666	26.306094	7.948381	0.012433	9.0
279	-0.628358	27.303237	7.784299	0.008897	8.1
280	-0.618627	26.424668	7.928508	0.008778	8.2
281	-0.625308	27.419839	7.765554	0.010144	8.2
282	-0.615788	28.419839	7.608419	0.006701	9.0
283	-0.631688	27.541270	7.746127	0.005377	8.6
284	-0.621590	28.282584	7.629609	0.015071	9.3
285	-0.638485	29.282584	7.477875	0.008574	9.0
286	-0.606439	30.282584	7.332058	0.007491	8.3
287	-0.622864	29.404020	7.459859	0.013158	7.9
288	-0.613611	29.744313	7.409832	0.011820	8.9
289	-0.618361	28.865751	7.540383	0.010030	8.1
290	-0.637386	29.865751	7.392142	0.011217	7.9
291	-0.604080	28.987181	7.522066	0.009053	10.2
292	-0.614559	29.987181	7.374537	0.009730	9.1
293	-0.647638	29.108613	7.503837	0.015053	10.2
294	-0.628358	30.108605	7.357017	0.006315	9.1
295	-0.627630	31.108605	7.215830	0.007876	9.2
296	-0.611537	30.714712	7.270791	0.007111	10.8
297	-0.640219	31.691082	7.136063	0.006489	10.8
298	-0.612754	30.813269	7.256961	0.009905	9.1
299	-0.618012	31.813269	7.119553	0.007386	9.6
300	-0.631913	32.813269	6.987252	0.007434	9.4
301	-0.615825	33.720488	6.871409	0.010459	10.4
302	-0.627259	34.720487	6.748090	0.005683	8.7
303	-0.631057	35.696808	6.631888	0.009469	8.1
304	-0.613990	36.694658	6.517187	0.008565	7.9
305	-0.616697	37.694631	6.406154	0.009810	8.1
306	-0.636563	36.816417	6.503462	0.007683	8.4
307	-0.631306	37.784262	6.396386	0.010395	9.4
308	-0.606385	36.909439	6.493015	0.011039	8.6
309	-0.625217	37.909439	6.382795	0.009080	8.8
310	-0.633393	37.030870	6.479428	0.006362	8.7
311	-0.630852	36.363520	6.554808	0.006944	8.8
312	-0.633791	36.359886	6.555223	0.011885	9.1
313	-0.605566	37.359886	6.442899	0.009003	9.1
314	-0.622518	38.359886	6.334360	0.007711	10.1
315	-0.635145	37.481319	6.429521	0.005148	10.0
316	-0.630172	38.481319	6.321428	0.018687	9.3
317	-0.614216	39.480773	6.216965	0.009743	8.8
318	-0.625991	38.602203	6.308607	0.007962	8.5
319	-0.621074	39.602203	6.204508	0.008125	8.2
320	-0.610124	40.601783	6.103831	0.007176	8.6
321	-0.633081	41.601783	6.006328	0.011417	8.4
322	-0.629177	42.599045	5.912146	0.006733	8.0
323	-0.630234	43.576446	5.822663	0.014743	8.3
324	-0.621319	44.576428	5.733872	0.012660	8.2
325	-0.646242	45.576428	5.647748	0.007802	8.3
326	-0.614856	44.932279	5.702925	0.009263	10.3
327	-0.644139	45.932277	5.617721	0.005478	8.1
328	-0.616387	45.053741	5.692438	0.008101	8.0
329	-0.631140	44.175172	5.769173	0.012117	8.3
330	-0.648629	44.507863	5.739874	0.008857	9.2
331	-0.620325	45.507863	5.653570	0.009726	9.6
332	-0.628791	46.401710	5.578595	0.009933	9.3
333	-0.624425	47.401710	5.497039	0.007436	8.5
334	-0.635787	48.401709	5.417833	0.014468	8.3
335	-0.631411	47.918409	5.455826	0.006653	8.4
336	-0.626473	47.039840	5.526275	0.006790	8.6
337	-0.619785	46.161362	5.598559	0.011858	8.1
338	-0.625749	45.282817	5.672765	0.010518	8.0
339	-0.628464	44.437727	5.746026	0.007227	8.0
340	-0.616545	45.436353	5.659655	0.009451	8.7
341	-0.626985	44.557792	5.735502	0.010418	8.9
342	-0.629314	43.680036	5.813337	0.008327	8.9
343	-0.613552	43.791268	5.803357	0.010146	8.7
344	-0.621402	44.791268	5.715148	0.007040	8.7
345	-0.615364	43.912700	5.792501	0.013042	10.7
346	-0.628401	43.778314	5.804517	0.010040	9.7
347	-0.643152	43.024324	5.872875	0.014684	9.2
348	-0.636015	42.145754	5.954587	0.005725	8.3
349	-0.617028	43.145754	5.861758	0.011968	8.2
350	-0.656319	42.737095	5.899341	0.017010	8.5
351	-0.631440	43.737095	5.808213	0.012203	9.9
352	-0.613746	44.737095	5.719858	0.008100	10.0
353	-0.612718	43.858526	5.797339	0.006510	8.9
354	-0.612376	44.858525	5.709312	0.013093	8.6
355	-0.606716	45.856196	5.624114	0.007268	8.4
356	-0.631382	46.855886	5.541256	0.011299	8.3
357	-0.619752	45.979584	5.613753	0.007582	8.1
358	-0.630717	46.978917	5.531228	0.007545	8.9
359	-0.624085	46.174066	5.597500	0.013860	8.6
360	-0.640201	47.173433	5.515446	0.009407	8.3
361	-0.616423	46.294868	5.587452	0.007873	8.0
362	-0.632776	45.416299	5.661364	0.009576	8.0
363	-0.633632	44.552348	5.735979	0.007329	8.0
364	-0.627144	45.467894	5.656970	0.012034	8.2
365	-0.614063	46.467758	5.573134	0.008907	8.2
366	-0.606397	45.604094	5.645402	0.009118	8.5
367	-0.623642	46.002575	5.611827	0.010353	8.6
368	-0.628885	47.002575	5.529303	0.011841	8.1
369	-0.641145	46.124043	5.601672	0.007484	8.8
370	-0.631407	45.245475	5.675963	0.011232	9.0
371	-0.637007	44.366906	5.752251	0.015462	8.4
372	-0.629912	43.497426	5.829796	0.009679	8.4
373	-0.630866	44.497426	5.740788	0.011005	9.8
374	-0.622961	43.618857	5.818841	0.005994	10.2
375	-0.627651	44.612878	5.730687	0.010563	8.1
376	-0.628851	43.734311	5.808463	0.006834	8.3
377	-0.621105	43.957233	5.788529	0.009281	9.0
378	-0.631859	43.142337	5.862070	0.011530	10.4
379	-0.627999	42.271639	5.942739	0.009275	10.4
380	-0.627195	41.393070	6.026420	0.007412	9.3
381	-0.629440	42.393070	5.931356	0.007855	8.7
382	-0.615673	41.616254	6.004940	0.009454	8.1
383	-0.618432	40.737685	6.090395	0.010531	8.1
