1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.000000	627.201626	0.000000	2063.0
1	-1.405743	623.504937	0.013419	4.6
2	-0.984083	619.865785	0.011971	4.5
3	-0.451977	616.282728	0.010242	5.3
4	-0.616447	612.754375	0.005770	5.0
5	-1.123543	609.279381	0.023163	5.2
6	-0.223710	605.856447	0.006043	5.8
7	-0.913653	602.484317	0.014211	5.7
8	-0.871814	599.161779	0.002734	4.6
9	-0.269063	595.887656	0.003303	4.9
10	-0.438156	592.660813	0.006216	3.8
11	-0.687057	589.480151	0.016208	4.9
12	-0.274006	586.344606	0.007802	5.4
13	-1.143059	583.253145	0.020832	6.2
14	-0.000000	580.204771	0.000000	6.0
15	-0.959801	577.198517	0.013294	5.0
16	-0.783745	574.233444	0.016374	4.7
17	-0.487501	571.308645	0.008727	5.1
18	-0.413200	568.423237	0.007545	5.1
19	-1.211484	565.576365	0.010867	5.1
20	-0.335880	562.767201	0.011673	6.0
21	-0.671193	559.994938	0.011124	7.0
22	-1.046357	557.258797	0.015785	5.7
23	-1.021384	554.558018	0.011597	5.1
24	-0.000000	551.891865	0.000000	5.3
25	-0.855378	549.259621	0.013116	6.6
26	-0.233254	546.660592	0.002409	7.1
27	-0.394960	544.094102	0.008626	5.8
28	-0.463152	541.559494	0.012378	4.7
29	-0.849917	539.056129	0.024077	5.8
30	-0.000000	536.583387	0.000000	4.3
31	-0.861673	534.140663	0.012751	5.0
32	-0.757254	531.727370	0.020473	5.3
33	-1.060636	529.342935	0.005205	4.9
34	-0.673030	526.986802	0.006387	4.6
35	-0.831487	524.658430	0.006104	4.9
36	-0.428128	522.357290	0.006238	5.2
37	-1.327305	520.082868	0.007334	6.4
38	-0.564423	517.834665	0.005293	5.6
39	-0.582549	515.612193	0.010100	5.9
40	-1.045293	513.414976	0.008053	6.0
41	-0.733581	511.242551	0.015809	6.0
42	-0.417360	509.094468	0.006133	7.5
43	-0.000000	506.970285	0.000000	6.0
44	-0.001942	504.869574	0.000417	5.4
45	-0.522368	502.791916	0.005695	5.2
46	-0.392259	500.736903	0.006656	5.1
47	-0.285675	498.704137	0.006045	5.1
48	-0.825927	496.693228	0.015736	5.6
49	-0.000000	494.703798	0.000000	5.9
50	-0.350441	492.735476	0.008650	5.5
51	-0.734602	490.787900	0.011153	5.2
52	-0.578184	488.860718	0.011579	5.7
53	-0.320186	486.953585	0.004315	6.2
54	-0.220507	485.066164	0.005201	5.3
55	-0.903444	483.198126	0.006523	5.0
56	-0.846458	481.349149	0.016330	5.5
57	-1.040647	479.518920	0.010962	5.4
58	-0.170606	477.707132	0.001430	4.5
59	-1.023752	475.913485	0.017961	5.0
60	-1.058358	474.137684	0.016779	5.8
61	-0.461859	472.379445	0.010550	5.4
62	-0.874697	470.638485	0.012997	4.6
63	-0.000012	468.914531	0.000005	5.1
64	-0.361235	467.207315	0.004887	5.4
65	-0.000001	465.516573	0.000000	4.7
66	-0.884941	463.842050	0.019695	5.2
67	-1.117118	462.183494	0.011250	5.3
68	-0.747458	460.540658	0.010464	6.1
69	-0.496396	458.913303	0.007537	4.7
70	-1.208884	457.301192	0.015956	3.7
71	-0.616470	455.704096	0.012000	4.4
72	-0.377452	454.121787	0.002231	5.5
73	-1.432290	452.554045	0.017661	5.2
74	-0.490011	451.000653	0.016700	5.0
75	-0.611335	449.461399	0.010273	5.0
76	-0.592126	447.936075	0.013877	3.1
77	-1.405774	446.424477	0.023644	4.9
78	-0.636619	444.926406	0.015144	4.9
79	-0.724271	443.441666	0.011597	4.7
80	-0.005113	441.970065	0.000451	6.4
81	-0.688413	440.511415	0.012341	5.6
82	-0.764618	439.065533	0.022091	5.3
83	-0.613352	437.632238	0.005065	5.0
84	-0.472106	436.211351	0.008476	4.9
85	-0.981533	434.802701	0.020540	5.7
86	-1.080312	433.406117	0.024647	5.0
87	-0.695884	432.021430	0.004594	4.9
88	-0.000268	430.648479	0.000004	4.0
89	-0.842302	429.287101	0.009562	5.4
90	-0.882304	427.937140	0.008850	6.0
91	-0.498225	426.598440	0.016787	4.9
92	-0.207883	425.270849	0.001502	5.0
93	-0.853393	423.954220	0.017097	5.4
94	-0.000000	422.648404	0.000000	4.7
95	-0.000000	421.353259	0.000000	4.8
96	-1.353994	420.068643	0.021642	4.9
97	-0.603637	418.794419	0.005639	6.1
98	-0.409064	417.530451	0.006528	5.3
99	-1.135316	416.276604	0.021603	4.7
100	-0.726083	415.032748	0.004871	4.9
101	-0.267630	413.798754	0.004162	4.9
102	-0.707226	412.574495	0.021889	4.8
103	-0.692249	411.359849	0.011714	5.4
104	-1.278812	410.154691	0.018062	5.1
105	-0.162433	408.958904	0.001453	5.2
106	-0.000000	407.772368	0.000000	4.0
107	-1.106823	406.594968	0.010140	5.0
108	-0.512669	405.426590	0.009721	5.7
109	-1.367763	404.267122	0.019268	5.2
110	-1.289081	403.116456	0.021420	4.4
111	-1.033934	401.974481	0.005533	5.4
112	-1.101300	400.841093	0.015562	5.4
113	-0.508791	399.716187	0.005415	5.5
114	-0.787331	398.599660	0.014059	3.6
115	-0.312696	397.491411	0.005761	5.6
116	-0.182525	396.391342	0.012250	6.0
