1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.630455	0.000000	11.371880	0.007751	3639.3
1	-0.624849	0.000000	11.371880	0.009168	9.3
2	-0.624252	0.023350	11.359250	0.008581	11.1
3	-0.628822	0.000000	11.371880	0.011511	9.2
4	-0.637516	0.000000	11.371880	0.008847	9.1
5	-0.614161	0.992719	10.858570	0.007506	9.1
6	-0.618248	1.991087	10.387046	0.015955	9.1
7	-0.635328	2.991087	9.954092	0.009238	9.0
8	-0.619444	3.991087	9.555786	0.006692	9.4
9	-0.623333	4.984102	9.190600	0.006857	10.0
10	-0.623109	4.076485	9.523244	0.007635	9.4
11	-0.614296	5.044902	9.169145	0.007420	10.7
12	-0.628815	6.033695	8.833772	0.010346	9.4
13	-0.633389	6.970567	8.537885	0.007824	9.0
14	-0.613428	6.057648	8.825951	0.009541	8.8
15	-0.606726	5.285931	9.085068	0.005893	8.9
16	-0.626474	6.282384	8.753248	0.012277	9.6
17	-0.640190	7.282291	8.443781	0.009204	10.8
18	-0.614024	6.460495	8.696474	0.008016	10.3
19	-0.630796	5.772184	8.920060	0.010460	11.3
20	-0.612405	4.859207	9.234989	0.007778	12.7
21	-0.618120	3.946230	9.572969	0.011547	9.8
22	-0.633336	4.945974	9.204106	0.009273	10.0
23	-0.614904	4.042043	9.536342	0.008419	9.4
24	-0.624346	3.138223	9.893416	0.007502	9.2
25	-0.619927	4.132481	9.502026	0.008117	9.2
26	-0.632931	5.131915	9.138614	0.006039	9.3
27	-0.625580	5.330225	9.069785	0.007512	8.9
28	-0.595442	6.265321	8.758726	0.007792	9.2
29	-0.618395	7.264742	8.449024	0.008441	9.5
30	-0.618086	8.264711	8.160323	0.009180	9.1
31	-0.615673	7.351733	8.423100	0.007359	8.9
32	-0.625380	6.438887	8.703323	0.009723	9.2
33	-0.636952	5.570258	8.987850	0.011135	9.9
34	-0.612149	6.569953	8.661947	0.008505	9.0
35	-0.623553	6.164959	8.791086	0.007583	11.3
36	-0.633108	7.164847	8.478991	0.007032	10.3
37	-0.636871	8.164822	8.188272	0.008498	10.1
38	-0.609955	9.084052	7.938076	0.010300	11.2
39	-0.635777	8.171074	8.186517	0.010188	9.4
40	-0.629086	7.258097	8.451011	0.008715	9.1
41	-0.637380	8.235916	8.168360	0.007676	9.1
42	-0.615087	9.228941	7.900028	0.010274	9.3
43	-0.619385	10.228915	7.647063	0.006765	9.2
44	-0.629393	9.315955	7.877353	0.009657	9.1
45	-0.616854	8.405788	8.121173	0.010351	9.0
46	-0.630039	9.405787	7.854080	0.011885	8.8
47	-0.642369	10.405787	7.603996	0.011878	9.1
48	-0.626378	9.492810	7.831665	0.009174	9.5
49	-0.616845	8.579908	8.073368	0.006851	9.1
50	-0.633434	9.577985	7.809850	0.007786	9.1
51	-0.620605	8.665068	8.050192	0.010234	10.6
52	-0.623684	7.762791	8.302723	0.008334	10.1
53	-0.636679	8.154917	8.191054	0.007664	10.5
54	-0.630778	7.257747	8.451115	0.009166	10.0
55	-0.638636	8.257537	8.162323	0.008086	10.3
56	-0.624540	9.257537	7.892562	0.007494	9.9
57	-0.625505	8.344560	8.138118	0.005876	10.5
58	-0.617528	9.318678	7.876646	0.011478	10.3
59	-0.610263	8.405701	8.121197	0.009952	9.4
60	-0.620007	9.405701	7.854102	0.008380	9.4
61	-0.618402	10.373768	7.611757	0.011332	9.0
62	-0.619457	11.373548	7.376686	0.013585	9.0
63	-0.630838	10.460570	7.590755	0.006797	8.9
64	-0.624090	9.547593	7.817620	0.011191	9.0
65	-0.628103	10.547593	7.569816	0.009940	9.2
66	-0.625160	11.547590	7.337240	0.011727	8.9
67	-0.623504	12.547590	7.118529	0.004565	9.2
68	-0.616869	13.547565	6.912484	0.011672	9.7
69	-0.621290	14.503258	6.726410	0.007320	9.5
70	-0.621241	15.503258	6.542142	0.009688	10.9
71	-0.618979	16.503190	6.367711	0.005280	10.6
72	-0.617123	15.680470	6.510535	0.009042	10.2
73	-0.595970	16.680012	6.337829	0.006674	9.2
74	-0.623751	15.767105	6.495194	0.013429	9.2
75	-0.613602	14.854128	6.660585	0.009597	9.3
76	-0.626991	15.854128	6.479857	0.008032	9.7
77	-0.633429	16.748644	6.326306	0.008884	9.3
78	-0.620925	17.726108	6.166628	0.007003	9.4
79	-0.618889	17.001027	6.284290	0.006408	9.3
80	-0.622119	16.337281	6.396006	0.003825	9.5
81	-0.640382	17.157635	6.258498	0.008905	9.6
82	-0.637094	18.157401	6.098706	0.006002	9.4
83	-0.627208	19.130509	5.950821	0.007976	9.1
84	-0.646138	18.217821	6.089310	0.007899	9.1
85	-0.622201	17.304844	6.234446	0.009300	9.4
86	-0.623123	16.391866	6.386669	0.006398	9.3
87	-0.622197	15.907370	6.470509	0.011096	10.0
88	-0.625506	16.292119	6.403752	0.008070	10.8
89	-0.619540	16.730743	6.329308	0.010602	11.2
90	-0.638116	15.817841	6.486243	0.009939	9.6
91	-0.646402	16.815553	6.315113	0.007670	9.4
92	-0.626111	17.534725	6.197254	0.008737	9.2
93	-0.618952	18.534708	6.040502	0.007178	9.2
94	-0.618732	17.976215	6.127057	0.007894	9.2
95	-0.615446	17.097262	6.268416	0.009940	8.9
96	-0.623891	18.097258	6.108088	0.009844	8.9
97	-0.620185	17.184295	6.254128	0.005367	9.0
98	-0.610218	18.184284	6.094522	0.007891	9.2
99	-0.622333	17.387447	6.221031	0.013894	11.0
100	-0.630771	16.474470	6.372591	0.006745	10.0
101	-0.628871	15.584125	6.527681	0.010223	9.8
102	-0.637793	14.671155	6.694750	0.010638	9.3
103	-0.630320	15.607870	6.523447	0.007723	9.4
104	-0.618854	14.695252	6.690231	0.004934	9.8
105	-0.618702	15.693214	6.508274	0.009311	9.7
106	-0.624186	16.693159	6.335619	0.006351	9.5
107	-0.636071	16.447744	6.377139	0.005799	9.4
108	-0.630148	15.537679	6.535978	0.009753	9.3
109	-0.626636	14.630457	6.702397	0.010193	8.9
110	-0.627183	15.630457	6.519424	0.009191	9.1
111	-0.628097	14.738411	6.682152	0.008189	8.9
112	-0.641578	13.839236	6.854613	0.011311	10.2
113	-0.621354	14.838124	6.663560	0.009155	9.4
114	-0.629985	15.838124	6.482672	0.008021	9.0
115	-0.617390	16.838122	6.311346	0.014908	9.1
116	-0.629559	15.925145	6.467395	0.010774	9.4
117	-0.622592	16.925145	6.296864	0.008918	8.9
118	-0.627217	16.012930	6.452056	0.010353	10.1
119	-0.620196	15.102014	6.614852	0.007958	10.0
120	-0.637484	16.096829	6.437463	0.006413	10.2
121	-0.621587	17.096717	6.268506	0.011325	9.1
122	-0.618390	18.086257	6.109807	0.008791	9.6
123	-0.641608	17.173280	6.255933	0.012624	9.5
124	-0.635829	18.173279	6.096234	0.008680	9.2
125	-0.628466	17.260302	6.241704	0.007455	9.7
126	-0.631122	18.259690	6.082816	0.009898	9.9
127	-0.635244	18.750022	6.007782	0.011048	10.4
128	-0.610912	17.837045	6.149013	0.004692	9.7
129	-0.623994	18.672639	6.019501	0.007576	10.1
130	-0.614036	17.764881	6.160460	0.007008	9.3
131	-0.613554	18.764857	6.005541	0.009077	9.1
132	-0.639176	19.764857	5.858220	0.008855	9.0
133	-0.624421	19.278493	5.928958	0.005223	9.0
134	-0.605519	20.090326	5.811818	0.005261	9.0
135	-0.634958	19.201649	5.940291	0.007494	9.1
136	-0.621144	19.324181	5.922240	0.005654	9.3
