1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.000000	627.201626	0.000000	1514.5
1	-0.604387	623.504937	0.006572	5.9
2	-1.063759	619.865785	0.016295	5.1
3	-0.377525	616.282728	0.023208	5.2
4	-0.598791	612.754375	0.022437	4.9
5	-1.127835	609.279381	0.049125	5.0
6	-0.171877	605.856447	0.001777	4.8
7	-1.091682	602.484317	0.015449	4.9
8	-0.946481	599.161779	0.005737	5.3
9	-0.436139	595.887656	0.003867	5.2
10	-0.873842	592.660813	0.015817	5.1
11	-1.161418	589.480151	0.024119	5.0
12	-0.496238	586.344606	0.015521	6.3
13	-1.208042	583.253145	0.011884	6.4
14	-0.000000	580.204771	0.000000	4.7
15	-1.247530	577.198517	0.014833	4.6
16	-0.608096	574.233444	0.014341	5.0
17	-0.497651	571.308645	0.008377	5.0
18	-0.309929	568.423237	0.005604	5.0
19	-1.280700	565.576365	0.021654	4.8
20	-0.283380	562.767201	0.020810	5.5
21	-0.681424	559.994938	0.011542	5.2
22	-1.453270	557.258797	0.019209	5.0
23	-1.258834	554.558018	0.014917	5.7
24	-0.000000	551.891865	0.000000	5.4
25	-0.354548	549.259621	0.013593	5.3
26	-0.240507	546.660592	0.004625	5.0
27	-0.468336	544.094102	0.007028	5.1
28	-0.579301	541.559494	0.010421	6.0
29	-0.464547	539.056129	0.028044	5.3
30	-0.000000	536.583387	0.000000	6.9
31	-0.706678	534.140663	0.008788	6.8
32	-0.374871	531.727370	0.004159	5.3
33	-1.187830	529.342935	0.019092	6.5
34	-1.164388	526.986802	0.013586	5.2
35	-0.524620	524.658430	0.006845	6.9
36	-0.283288	522.357290	0.008141	5.8
37	-1.507522	520.082868	0.020428	6.7
38	-0.572835	517.834665	0.007878	5.4
39	-0.801638	515.612193	0.011357	5.3
40	-1.074432	513.414976	0.010367	6.5
41	-0.705232	511.242551	0.021336	6.4
42	-0.735831	509.094468	0.010429	5.0
43	-0.000007	506.970285	0.000003	5.0
44	-0.058406	504.869574	0.000520	5.2
45	-0.727248	502.791916	0.010054	4.9
46	-0.360029	500.736903	0.009329	4.9
47	-0.288766	498.704137	0.009713	5.2
48	-0.280763	496.693228	0.003532	4.9
49	-0.000003	494.703798	0.000001	5.3
